,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,26,26,31,30,20,31,31,30,30,27,20,30,20,24,30,38,20,20,38,30,38,38,20,31,31,30,24,30,23,28,28,24,21,27,26,24,23,23,28,21,23,28,24,21,31,24,31,28,23,35
1,26,31,31,38,20,31,26,31,38,34,20,34,38,20,26,38,26,20,38,31,34,31,38,26,23,23,26,23,31,28,28,22,26,23,22,22,28,23,27,22,26,28,22,28,22,31,28,31,22,40
2,38,38,27,26,20,20,26,20,20,38,31,25,31,38,31,38,20,20,31,34,20,20,30,21,38,38,26,38,21,28,26,26,28,23,26,21,38,31,21,25,23,30,34,23,38,31,31,21,38,39
3,20,31,20,20,20,20,26,30,20,30,38,27,30,31,27,34,30,24,27,26,20,26,24,28,21,31,23,21,31,23,38,23,21,38,28,31,23,30,31,23,26,21,26,31,30,28,21,31,23,35
4,27,20,20,20,26,20,20,20,20,34,38,26,31,26,34,30,26,20,20,31,34,30,20,24,26,28,26,27,26,23,24,30,27,21,26,28,26,26,30,26,21,27,28,31,21,38,23,23,30,35
5,34,25,31,20,31,30,25,20,20,38,30,25,27,25,38,25,34,20,38,31,26,31,30,26,31,23,28,23,23,38,23,26,23,26,30,31,23,30,30,38,23,31,26,23,26,38,28,21,21,35
6,27,31,26,30,30,20,31,20,26,20,20,20,31,26,24,26,38,31,30,30,20,31,20,23,30,21,24,30,23,21,31,28,38,23,28,38,34,31,28,24,23,24,28,23,21,26,23,21,24,33
7,31,38,20,38,30,27,38,20,25,31,31,26,20,30,38,31,30,31,25,30,34,31,38,31,21,23,26,34,21,38,23,23,23,21,23,23,26,30,31,28,26,28,23,23,38,31,25,21,31,35
8,20,24,30,30,31,34,31,34,26,34,26,20,20,30,31,31,26,38,20,20,30,34,20,26,28,23,26,23,23,34,38,30,21,24,28,28,23,38,23,23,28,23,27,28,21,38,21,30,28,33
9,30,31,20,30,38,31,27,20,20,20,26,31,26,34,30,31,26,26,26,31,38,34,38,23,34,38,21,21,28,26,23,38,38,34,23,30,23,25,28,38,28,23,25,21,26,23,21,38,26,40
