,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,20,30,20,26,27,30,24,30,30,20,30,26,30,31,31,30,31,24,20,27,31,30,27,23,28,27,38,23,23,27,28,23,23,34,26,23,28,21,26,23,26,23,23,30,26,38,31,27,34,33
31,26,20,20,31,20,26,31,31,30,26,20,30,38,27,27,30,20,27,27,20,34,38,20,25,31,25,30,25,31,31,34,30,25,25,26,38,23,28,26,38,28,23,21,26,21,28,38,23,28,35
32,20,20,38,20,24,38,24,34,20,26,24,30,27,20,20,38,38,38,20,31,34,38,34,26,23,28,23,23,23,21,28,26,21,21,34,38,23,23,23,30,31,23,21,30,24,23,23,34,26,35
33,34,26,24,31,31,20,27,20,26,20,31,26,24,20,26,31,26,30,26,20,20,20,38,24,26,31,23,24,28,26,30,27,28,28,23,28,31,23,28,23,26,26,23,23,23,31,34,27,23,33
34,26,30,30,20,20,26,26,26,38,26,31,26,24,20,31,20,31,38,31,34,38,26,31,38,23,31,23,28,26,38,31,23,24,38,23,28,23,26,23,28,23,23,31,26,28,26,23,23,23,35
35,31,30,20,31,20,31,20,38,26,30,26,38,20,27,30,31,34,30,31,34,31,38,24,23,30,34,23,27,23,21,21,28,31,31,28,28,23,30,26,21,26,28,27,31,23,26,30,23,23,47
36,20,26,24,31,20,30,27,20,30,26,20,38,20,38,30,30,34,31,24,30,20,30,31,21,31,21,28,24,23,28,24,21,26,26,27,21,23,23,31,31,38,23,31,23,27,30,30,23,23,35
37,34,27,20,38,27,38,31,38,34,26,38,20,31,31,30,25,38,38,30,31,30,26,20,21,26,30,23,23,38,23,31,34,31,21,31,23,31,21,26,23,28,26,23,21,28,31,31,21,38,35
38,20,20,31,31,26,30,20,31,26,38,38,26,31,20,30,25,30,30,38,27,20,34,34,26,31,25,23,28,21,31,26,30,25,25,21,21,30,31,34,31,30,26,30,26,26,31,27,28,25,35
39,34,25,20,20,34,34,25,31,26,34,38,38,30,31,30,30,31,20,38,27,20,20,26,21,26,25,23,31,28,26,26,31,23,28,31,26,25,30,25,21,31,28,34,26,26,31,21,23,38,47
40,27,27,27,30,25,38,20,38,20,30,38,38,26,30,30,30,38,31,20,26,30,31,20,23,23,31,21,21,38,31,27,21,31,30,31,23,25,31,23,31,26,34,21,25,31,26,31,30,25,40
41,31,31,20,30,31,30,20,38,31,31,20,26,20,38,26,30,24,24,24,20,26,20,24,24,23,28,28,28,23,31,28,30,26,28,28,28,28,26,34,21,23,31,34,38,38,26,24,31,23,35
42,20,27,20,26,20,24,20,30,30,20,38,31,20,31,31,30,26,24,26,20,27,38,20,27,30,21,28,28,21,21,30,31,31,38,21,23,38,26,26,38,23,31,26,24,27,31,31,23,21,39
43,25,31,20,38,25,38,20,31,26,38,30,27,34,31,34,38,25,20,26,30,34,20,34,31,31,25,23,23,26,28,25,26,28,23,23,23,38,25,30,30,23,31,31,26,21,30,25,25,28,35
44,20,38,34,31,20,26,30,20,31,31,20,31,31,31,30,26,31,27,26,25,25,31,20,27,26,28,23,31,30,23,26,23,25,25,38,34,26,25,28,38,23,28,23,27,22,22,22,23,23,40
45,20,24,30,20,26,31,26,31,30,20,20,26,31,20,20,26,30,30,30,20,38,38,30,31,23,31,23,24,21,23,21,31,23,24,26,24,31,34,26,26,21,26,28,28,30,31,21,31,23,40
46,31,20,34,20,27,34,20,30,20,20,38,26,26,26,38,38,34,26,20,26,31,38,20,23,30,23,23,21,23,24,26,24,28,30,27,21,21,24,28,23,26,27,24,30,23,23,24,24,23,40
47,20,20,25,38,31,31,26,38,20,27,38,20,31,27,30,27,38,31,31,20,25,38,38,23,23,21,23,23,28,31,38,28,26,31,31,25,23,23,26,28,21,31,38,23,25,21,23,28,23,35
48,20,20,20,20,26,26,26,25,38,27,38,20,20,38,26,31,38,20,34,20,26,38,20,26,28,26,21,21,21,38,38,31,28,25,38,27,38,28,25,23,31,31,28,26,25,25,27,26,34,47
49,20,20,31,27,38,24,20,20,31,38,31,30,20,31,30,38,26,31,38,26,31,20,20,27,23,31,31,26,23,28,23,28,28,26,28,24,28,28,24,22,23,28,23,28,22,28,28,22,23,40
50,20,30,30,25,38,38,20,34,27,30,20,30,26,20,20,38,26,38,38,30,20,31,30,26,25,38,38,21,23,26,34,27,34,27,23,23,21,26,31,23,34,23,31,27,30,31,25,25,23,35
51,30,26,20,27,31,20,27,34,20,38,26,31,31,31,34,25,31,30,20,20,25,20,27,25,23,22,23,28,26,30,31,31,28,25,25,31,26,25,31,23,31,31,22,26,27,34,28,25,28,35
52,20,27,34,20,26,26,20,24,26,30,27,31,27,26,31,38,38,20,31,20,20,20,24,22,30,24,28,22,23,31,38,22,22,23,34,22,23,22,26,23,22,31,22,27,28,23,28,22,26,47
53,25,31,30,31,20,31,31,31,31,26,20,38,31,20,26,31,30,20,30,27,20,26,30,26,23,34,25,28,31,31,28,26,28,25,25,25,31,27,30,23,28,30,25,26,28,26,21,21,26,33
54,26,20,20,25,20,30,31,38,20,26,27,38,25,30,20,38,38,20,26,20,20,30,26,30,30,31,31,31,31,25,28,26,31,34,31,26,23,30,27,23,26,31,31,38,25,34,28,26,31,33
55,20,20,31,26,20,20,26,38,20,38,26,26,20,38,26,27,20,20,24,26,38,30,20,21,26,28,38,30,23,38,21,23,21,21,27,21,28,31,31,28,31,21,24,26,24,28,28,30,26,40
56,38,27,31,34,31,30,31,31,30,34,27,38,34,38,38,20,26,27,31,26,20,20,25,31,38,26,23,28,25,28,23,26,22,31,34,25,23,31,22,28,38,26,31,30,23,25,25,22,28,39
57,27,20,20,20,20,26,25,38,20,38,20,20,20,38,20,30,25,27,26,34,20,20,34,28,23,21,38,31,23,31,21,28,25,26,23,21,31,34,28,23,26,25,23,25,38,25,31,25,38,33
58,20,25,20,20,34,38,20,38,27,25,31,30,34,31,38,30,31,31,34,30,31,38,34,28,23,31,22,28,28,22,23,22,23,25,23,25,38,22,28,27,22,28,25,23,22,27,38,23,26,35
59,20,30,30,34,20,30,24,30,20,30,20,38,20,26,20,20,30,20,20,38,20,31,20,23,23,21,23,21,31,24,30,28,31,24,28,23,21,28,24,38,26,27,28,24,23,23,31,26,23,35
60,27,20,20,27,27,32,31,26,26,31,20,26,20,38,31,38,31,31,26,20,30,26,30,26,34,22,32,31,22,27,26,32,30,32,32,26,31,32,32,31,34,30,22,23,30,32,26,22,28,33
61,20,25,26,27,25,31,20,30,31,38,27,31,31,38,26,34,30,31,38,20,20,31,27,28,25,26,28,31,22,22,25,23,23,31,22,22,28,31,23,30,26,23,25,26,25,22,23,22,23,40
62,30,27,38,20,20,31,26,34,31,26,31,20,30,27,26,20,20,20,20,27,25,27,25,27,27,22,26,23,22,31,31,23,27,31,30,28,25,22,23,31,22,22,23,22,23,26,31,26,28,40
63,20,27,20,31,31,27,30,31,20,30,20,30,20,20,30,26,30,27,38,24,20,26,20,21,23,26,21,24,24,23,31,26,24,21,30,26,28,26,27,38,23,24,27,38,31,23,24,23,30,35
64,24,27,20,20,26,26,24,20,20,20,20,38,20,31,31,38,31,27,38,27,20,38,20,30,22,22,26,31,22,31,24,28,24,30,24,30,23,23,24,28,28,22,26,24,26,24,28,30,22,35
65,20,30,38,26,27,38,26,38,31,32,20,34,30,38,31,34,20,20,20,20,38,31,20,23,23,23,38,32,28,26,38,28,31,26,31,23,32,26,26,23,30,28,38,27,26,32,26,26,31,35
66,27,26,30,27,20,31,34,20,26,38,31,31,20,26,26,26,31,27,34,25,31,20,30,30,22,31,30,22,38,31,23,23,22,23,25,31,31,27,25,23,23,25,28,31,26,22,28,26,28,35
67,20,38,30,25,31,34,30,38,30,31,20,31,20,25,20,30,31,20,38,20,20,38,26,31,38,31,30,26,28,28,34,21,25,31,34,26,30,25,25,23,26,28,21,23,31,31,30,27,23,35
68,31,20,20,25,20,30,25,30,27,26,20,38,27,38,38,31,38,34,26,30,34,30,20,25,26,31,23,25,28,27,23,28,28,27,23,31,27,25,25,23,38,27,26,38,31,31,21,28,23,35
69,31,31,38,20,20,38,31,30,38,38,30,30,20,31,20,38,26,20,31,26,20,26,25,25,31,26,38,25,23,34,25,23,21,31,21,25,26,27,25,23,23,23,30,25,25,31,31,21,23,35
70,31,20,20,20,20,26,27,31,20,26,20,20,38,26,20,25,38,20,20,34,38,38,20,25,23,23,23,26,31,31,27,23,34,31,27,23,25,21,21,28,23,21,38,25,31,23,25,25,31,35
71,32,20,26,26,20,34,30,20,27,38,32,31,26,26,38,31,26,20,20,26,20,31,34,26,23,27,23,27,38,27,26,23,38,26,26,26,30,27,30,23,32,30,32,26,26,32,32,26,28,33
72,25,26,20,20,20,26,20,26,25,20,25,26,27,30,38,31,31,20,31,27,31,38,31,28,23,26,22,23,23,22,22,28,23,27,26,38,23,34,25,26,23,23,22,28,31,27,31,31,28,33
73,31,20,20,27,31,38,38,26,20,31,20,31,25,20,30,38,25,20,30,20,20,30,27,30,23,28,34,31,30,25,28,23,25,38,21,26,28,25,31,23,23,21,30,23,30,25,30,31,28,33
74,20,31,27,26,20,34,34,26,24,38,27,20,20,26,20,26,38,20,38,30,27,26,30,28,28,26,23,23,23,31,26,30,23,24,24,31,26,21,21,26,31,21,21,28,30,38,23,31,26,35
75,20,20,30,27,20,38,30,38,20,30,20,38,27,30,30,34,25,25,38,31,20,26,27,26,26,27,31,25,38,26,27,31,26,31,21,31,25,26,23,26,31,31,23,25,23,25,31,28,38,33
76,20,20,20,20,27,38,31,34,20,26,26,38,27,25,31,26,38,20,38,20,20,31,20,34,28,31,23,22,38,38,38,31,22,22,25,25,25,27,25,23,26,22,31,25,26,26,27,25,23,33
77,20,20,31,26,30,20,31,38,30,31,26,26,20,31,20,26,20,20,26,20,27,38,20,24,23,31,23,21,31,28,21,31,31,21,24,21,24,24,28,38,28,26,31,31,21,23,21,31,23,43
78,34,20,34,30,27,26,25,31,25,20,34,38,26,38,38,20,31,20,31,30,38,26,20,23,22,31,30,25,31,26,38,23,23,22,23,22,25,22,31,28,31,23,30,25,22,22,25,23,28,39
79,20,31,20,20,20,38,27,20,27,38,27,30,20,26,34,20,38,20,38,31,34,30,25,26,28,26,28,25,30,30,30,23,28,25,28,38,34,26,31,23,31,21,26,21,25,25,28,21,38,33
80,34,24,20,26,30,38,26,20,31,30,20,30,20,20,30,20,38,26,31,20,20,31,20,24,23,21,23,26,26,21,23,31,31,27,26,21,27,34,23,23,23,26,31,31,24,24,26,34,23,33
81,20,20,26,26,20,38,31,31,20,26,20,31,20,20,20,34,31,20,38,25,27,30,31,31,30,25,25,31,38,21,25,28,23,25,25,31,26,27,31,25,23,31,27,23,26,31,31,25,23,35
82,30,38,27,38,20,38,38,38,26,26,27,31,20,20,31,38,30,20,31,31,20,30,26,25,23,31,31,23,34,31,31,30,26,28,23,34,25,26,25,23,23,21,25,31,25,21,31,25,23,36
83,20,24,30,26,24,30,20,30,31,26,38,34,20,26,38,27,31,20,26,30,20,30,31,27,23,22,30,24,22,30,22,23,22,27,24,31,26,31,28,28,28,26,24,31,28,23,27,23,23,43
84,26,20,26,31,20,20,20,20,27,34,26,38,20,27,31,38,38,30,30,20,34,38,26,21,23,23,28,27,25,31,26,23,31,23,23,31,25,26,25,31,23,31,25,38,26,25,25,25,23,40
85,25,25,20,31,20,31,26,31,30,38,31,20,20,26,27,31,38,26,38,20,38,25,38,30,34,25,28,26,25,26,28,23,31,23,23,26,30,28,31,23,38,22,27,34,23,25,25,22,23,40
86,20,34,20,31,26,34,38,30,20,27,20,30,31,38,26,38,30,26,26,20,20,38,20,25,38,25,23,21,23,25,25,23,27,26,25,25,34,21,21,38,38,21,26,23,34,28,30,38,23,35
87,26,30,31,38,20,26,27,26,20,31,27,30,31,26,31,20,34,20,38,20,20,38,20,21,23,26,23,25,21,25,26,26,26,21,25,25,23,21,25,23,23,27,38,25,23,31,26,31,23,33
