,0
0,-842
1,-1531
2,-1393
3,-1754
4,-2189
5,425
6,-997
7,-229
8,-656
9,-605
10,-1789
11,-1400
12,-421
13,-1528
14,-931
15,-483
16,-1763
17,-1005
18,-1519
19,-1332
20,-1625
21,-1520
22,-1737
23,73
24,-806
25,-1364
26,-549
27,-167
28,-1943
29,-1595
30,-1960
31,-781
32,-1360
33,-1517
34,-1384
35,-1503
36,-942
37,-1639
38,-1399
39,-2313
40,-1420
41,-1380
42,-753
43,-1808
44,-1164
45,-1138
46,-326
47,-1589
48,-1299
49,-754
50,-1809
51,-1564
52,-817
53,-966
54,-1405
55,-1334
56,-2238
57,-1332
58,-997
59,-298
