,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,20,30,20,30,38,26,38,25,34,38,25,27,31,31,30,26,31,38,25,34,20,26,38,21,31,34,23,38,21,38,26,25,26,23,31,21,25,31,28,28,25,25,31,23,23,30,38,28,28,40
1,26,20,20,38,26,27,27,30,20,31,20,31,20,26,31,30,31,26,27,20,38,26,20,38,28,21,24,31,34,26,28,26,23,23,31,26,26,23,21,23,28,24,23,26,23,26,34,21,23,40
2,20,20,27,20,31,27,26,30,20,31,30,38,34,20,34,20,20,30,34,27,31,31,26,26,26,28,28,23,21,31,23,30,38,27,23,30,28,38,31,23,25,31,38,26,31,21,30,23,34,33
3,31,38,26,20,26,20,31,27,31,34,26,26,31,20,26,34,31,20,26,26,30,20,26,23,23,26,31,28,26,28,26,28,21,21,30,23,23,31,31,24,34,23,27,34,26,34,23,28,23,33
4,31,38,26,20,26,20,38,38,31,31,20,38,27,27,31,31,38,31,20,20,20,27,20,31,28,21,23,23,23,28,31,28,26,26,27,31,30,31,38,23,26,25,23,30,23,28,28,21,28,40
5,20,20,20,20,30,27,30,26,31,31,30,20,31,38,31,31,38,20,27,30,38,34,20,21,26,30,28,28,28,26,31,28,26,30,30,28,21,23,30,23,31,23,23,38,23,23,28,23,23,40
6,30,26,38,20,27,20,26,31,27,26,20,26,30,20,27,26,38,38,30,38,31,38,20,28,31,31,31,28,31,23,26,21,34,21,21,38,38,23,21,28,38,23,23,23,24,26,23,34,21,35
7,38,34,38,31,31,20,31,20,31,30,28,28,34,20,34,26,26,31,38,38,25,34,26,31,22,23,22,28,22,28,28,30,30,28,25,28,26,28,23,30,34,22,22,38,23,30,23,22,31,40
8,38,20,34,20,31,31,30,30,30,30,27,30,26,31,34,26,31,31,31,26,38,38,20,34,21,25,31,23,25,23,28,30,28,30,31,25,28,30,31,30,26,38,31,26,28,30,38,25,25,33
9,20,24,38,38,30,26,31,30,31,20,34,20,24,38,30,26,20,31,38,30,30,34,34,26,27,28,22,22,26,38,22,22,31,22,28,28,23,24,34,23,22,31,23,22,22,38,38,23,28,35
