,iteration,rgap,alpha,warnings
0,1,inf,1.0,
1,2,0.8340019675567308,0.40743996184732567,
2,3,0.5535311840054283,0.20626848864976857,
3,4,0.1554248521613022,0.07081309973081007,
4,5,0.11273859194415237,0.05225506335494653,
5,6,0.03139516979245001,0.15806047737187426,
6,7,0.04305980054375875,0.029785142342294842,
7,8,0.03496962834079968,0.014312698342200959,
8,9,0.012839340564353844,0.009092665602484647,
9,10,0.01823749157172018,0.015585387992733192,
10,11,0.01629264486106712,0.01154267940523802,
11,12,0.015042731932731854,0.012634722733296157,
12,13,0.015952493903486624,0.012908694298194853,
13,14,0.014284796934285447,0.011993767575780223,
14,15,0.014613350302058046,0.010380575580794353,
15,16,0.0129063060450428,0.010889220676446102,
16,17,0.014084703836377166,0.009978049601839782,
17,18,0.012417593441545513,0.010481535045736956,
18,19,0.013479654659459607,0.009582953992757036,
19,20,0.012088755036233405,0.010203357850725141,
20,21,0.012894773735459714,0.009169456877462318,
21,22,0.011576511417252206,0.009772499964069103,
22,23,0.012603704232194734,0.008937642770634845,
23,24,0.011374493277687026,0.009572083462367416,
24,25,0.012016289271518567,0.010133622529635235,
25,26,0.011212530463233327,0.010285999238241325,
26,27,0.011328429455954284,0.00955819109966456,
27,28,0.011547063294582004,0.00517174015055367,
28,29,0.006483409520407256,0.005094671737790647,
29,30,0.011409113122859981,0.009626138639646687,
30,31,0.011902604446086493,0.008464936831486377,
31,32,0.010696131167134427,0.009028002348892308,
32,33,0.011425553302823029,0.008127364967069407,
33,34,0.010276316517605584,0.008674820574840226,
34,35,0.011210245970157861,0.007947047283223676,
35,36,0.010100751272775663,0.008501538389190471,
36,37,0.010590402826390512,0.007771044192208185,
37,38,0.009875473703689758,0.008337211616124223,
38,39,0.010504636154388186,0.007451269222673157,
39,40,0.009391265123495937,0.007909648111607666,
40,41,0.009994099745518051,0.007336818117522321,
41,42,0.009574046064396474,0.0043145730262014285,
42,43,0.006315159550044535,0.004959838697787226,
43,44,0.010085849565424099,0.007032162558492397,
44,45,0.008703311114147906,0.006818153110509135,
45,46,0.010248830383285322,0.007789403696371658,
46,47,0.00934142789190697,0.007319945578019347,
47,48,0.009894171776114494,0.008347726007809806,
48,49,0.009748641235847566,0.006939478996183567,
49,50,0.00878836229231836,0.0074211076733142626,
50,51,0.009600283564868965,0.006809046916421084,
51,52,0.008538325767674148,0.0071927170786516715,
52,53,0.009053327254529574,0.006645239533443348,
53,54,0.008574907457190637,0.007241051542535127,
54,55,0.009051634504118208,0.0064232839214214245,
55,56,0.008069205181906526,0.0036376317448896553,
56,57,0.0055047517615947,0.004322642913649995,
57,58,0.008728876367228883,0.006635101785943763,
58,59,0.007977963473046962,0.00625731126924924,
59,60,0.009310445890326011,0.006688419019216774,
60,61,0.00819075841030768,0.006417717331979972,
61,62,0.008622414347716293,0.007259493666881009,
62,63,0.008695441169016742,0.006167195062396386,
63,64,0.007958868452163429,0.006721954255132736,
64,65,0.008502160590371365,0.006055857344853381,
65,66,0.007677581864945556,0.006485162055807452,
66,67,0.008338201265631721,0.005916953574571647,
67,68,0.007402114550091663,0.006254712921857154,
68,69,0.008161791843162814,0.005815646734406721,
69,70,0.007436247941176008,0.0033520121898405297,
70,71,0.004773809580485606,0.003749173493639416,
71,72,0.007783727968187717,0.005439090335018569,
72,73,0.006742813390946402,0.0052849274081679665,
73,74,0.00842772956098396,0.006414458033025875,
74,75,0.007709971900614077,0.006042331293659449,
75,76,0.007760285795200808,0.006552684302879243,
76,77,0.00789771752163607,0.005626984143818155,
77,78,0.007136778672674552,0.006028993801836285,
78,79,0.007677237759366777,0.005448636727753806,
79,80,0.0069838782343885734,0.005887880223269329,
80,81,0.007460520706228891,0.005477596341643389,
81,82,0.006932716424852465,0.005857207376406411,
82,83,0.007338809357432486,0.005230704989905006,
83,84,0.006638008065390478,0.005609180172607478,
84,85,0.007241826057453524,0.005141635806847937,
85,86,0.006976616649918876,0.0031449389764630267,
86,87,0.004667161893064698,0.0036640565352500866,
87,88,0.007075295900196732,0.005385507593029971,
88,89,0.006487871589716877,0.005089256517689047,
89,90,0.007424459561654796,0.005201017887428454,
90,91,0.006436886899938877,0.005046705724721681,
91,92,0.00707730459104241,0.005964408553810784,
92,93,0.0069964674313792415,0.005136320172227859,
93,94,0.0065208851846356415,0.005509431258281795,
94,95,0.006895415998278058,0.004915300900006148,
95,96,0.006239767302174348,0.005272810592453664,
96,97,0.006828409228937994,0.00484771555045457,
97,98,0.00610545362338812,0.0051501647013325385,
98,99,0.006492672648283232,0.004768643267668174,
99,100,0.006410996684775201,0.002890042705007617,
