,0
338,-2245
339,-2694
340,-1892
341,-3145
342,-1607
343,-3040
344,-1875
345,-1617
346,-1543
347,-815
348,-1744
349,-1984
350,-3827
351,-2279
352,-2319
353,-4366
354,-1682
355,-2651
356,-3093
357,-1966
358,-3003
359,-2769
360,-996
361,-3866
362,-2242
363,-1725
364,-1631
365,-2980
366,-3975
367,-913
368,-3229
369,-2523
370,-3136
371,-2533
372,-3918
373,-1128
374,-3615
375,-3824
376,-2114
377,-2296
378,-1258
379,-2167
380,-1038
381,-1980
382,-3627
383,-3805
384,-2802
385,-2279
386,-1913
387,-2428
388,-3436
389,-2111
390,-3409
391,-1626
392,-3434
393,-2535
394,-2167
395,-1899
396,-3168
397,-1929
398,-3524
399,198
400,-1720
401,-3275
402,-1507
403,-2620
404,-2770
405,-1762
406,-2085
407,-2385
408,-1984
409,-2968
410,-2587
411,-3768
412,-1940
413,-1386
414,-1285
415,-1575
416,-2337
417,-1104
418,-2245
419,-3944
420,-3016
421,-417
422,-3088
423,-1449
424,-1327
425,-1989
426,-1952
427,-3377
428,-2025
429,-3697
430,-1524
431,-1167
432,-2181
433,-4317
434,-1697
435,-2549
436,-1902
437,-2199
438,-1961
439,-709
440,-2693
441,-2874
442,-1783
443,-2615
444,-1648
445,-973
446,-3118
447,-1542
448,-2585
449,-2725
450,-2881
451,-1726
452,-1447
453,-4085
454,-2605
455,-1827
456,-2838
457,-2870
458,-2083
459,-3360
460,-2711
461,-3740
462,-2875
463,-1437
464,-1987
465,-2598
466,-2133
467,-3028
468,-900
469,-1259
470,-2209
471,-2202
472,-1256
473,-995
474,-2575
475,-2637
476,-1885
477,-1550
478,-3556
479,-2084
480,-623
481,-2459
482,-2523
483,-2778
484,-2896
485,-3169
486,-2697
487,-1353
488,-1043
489,-1481
490,-1976
491,-1454
492,-2369
493,-1267
494,-2459
495,-1347
496,-165
497,-2686
498,-1762
499,-2203
