,0
0,-2319
1,-3131
2,-2871
3,-2261
4,-2714
5,-925
6,-3727
7,-4173
8,-4158
9,-480
10,-2508
11,-2734
12,-3312
13,-1447
14,-3235
15,-3093
16,-3732
17,-2678
18,-3048
19,-3189
20,-3142
21,-2334
22,-2465
23,-1635
24,-4267
25,-3615
26,-3576
27,-4763
28,-2129
29,-2099
30,-3667
31,-3020
32,-2939
33,-2831
34,-4455
35,-1408
36,-3502
37,-2796
38,-1906
39,-3422
40,-2839
41,-3410
42,-2841
43,-3748
44,-3318
45,-2347
46,-2683
47,-1410
48,-2573
49,-4682
50,-2536
51,-3013
52,-3165
53,-3294
54,-2192
55,-2527
56,-2450
57,-1766
58,-3313
59,-3693
60,-4322
61,-2368
62,-3448
63,-2497
64,-3629
65,-3499
66,-2351
67,-3387
68,-4422
69,-3017
70,-2062
71,-2632
72,-3106
73,-3410
74,-4261
75,-4225
76,-3671
77,-3252
78,-3738
79,-2630
80,-4626
81,-1722
82,-3518
83,-4035
84,-2369
85,-2424
86,-2066
87,-912
88,-3807
89,-2866
90,-1645
91,-4226
92,-2974
93,-2725
94,-2725
95,-2790
96,-942
97,-1095
98,-3018
99,-1423
100,-2417
101,-4329
102,-3247
103,-2592
104,-4196
105,-4229
106,-1840
107,-3746
108,-3494
109,-2381
110,-2536
111,-2138
112,-1649
113,-3447
114,-2603
115,-1396
116,-3046
117,-1641
118,-1575
119,-3498
120,-2596
121,-2878
122,-2612
123,-2763
124,-2253
125,-3601
126,-2887
127,-3304
128,-2996
129,-2555
130,-2930
131,-1370
132,-4384
133,-2352
134,-1263
135,-4185
136,-3347
137,-3169
138,-1800
139,-4814
140,-1916
141,-1441
142,-3074
143,-3237
144,-3923
145,-2824
146,-2650
147,-3469
148,-2800
149,-2245
150,-2435
151,-2051
152,-3417
153,-1773
154,-2460
155,-3164
156,-2015
157,-2542
158,-2434
159,-2289
160,-3631
161,-2494
162,-1690
163,-2599
164,-2797
165,-1406
166,-2671
167,-3232
168,-3004
169,-2774
170,-3580
171,-3246
172,-2924
173,-2339
174,-3528
175,-3272
176,-2208
177,-73
178,-2290
179,-1585
180,-3200
181,-2663
182,-3800
183,-2923
184,-3428
185,-3571
186,-3490
187,-2683
188,-1993
189,-2460
190,-3455
191,-3317
192,-1198
193,-2383
194,-2876
195,-3329
196,-1913
197,-2324
198,-2097
199,-631
200,-1660
201,-1488
202,-2407
203,-2128
204,-2990
205,-2816
206,-2036
207,-1691
208,-3665
209,-1032
210,-2132
211,-2389
212,-3944
213,-477
214,-4828
215,-793
216,-1621
217,-1665
218,-1525
219,-4368
220,-3413
221,-1978
222,-2014
223,-3082
224,-3471
225,-2313
226,-1839
227,-3051
228,-1946
229,-3034
230,-832
231,-1751
232,-1912
233,-3004
234,-1935
235,-1765
236,-2333
237,-2789
238,-2674
239,-2803
240,-3732
241,-2206
242,-2182
243,-1964
244,-1483
245,-2271
246,-1672
247,-2424
248,-1216
249,-2653
250,-1682
251,-2704
252,-1020
253,-3913
254,-2385
255,-2365
256,-3219
257,-2025
258,-2825
259,-2176
260,-1726
261,-2224
262,-1091
263,-2443
264,-2403
265,-1940
266,-2496
267,-3789
268,-1778
269,-2260
270,-1661
271,-2973
272,-2103
273,-2384
274,-2860
275,-2127
276,-2371
277,-1390
278,-1671
279,-1540
280,-2009
281,-2608
282,-2426
283,-1604
284,-2085
285,-835
286,-1504
287,-1463
288,-2062
289,-1788
290,-3504
291,-2618
292,-2374
293,-445
294,-1635
295,-2931
296,-1488
297,-1308
298,-1615
299,-1467
300,-2420
301,-4409
302,-2710
303,-2535
304,-3306
305,-2185
306,-4008
307,-3850
308,-2836
309,-842
310,-2400
311,-763
312,-2640
313,-3049
314,-3022
315,-3720
316,-3132
317,-3400
318,-3210
319,-2507
320,-1835
321,-3033
322,-2769
323,-2346
324,-3255
325,-2099
326,-1491
327,-1571
328,-1364
329,-3017
330,-3647
331,-3722
332,-3543
333,-3344
334,-1833
335,-3590
336,-4022
337,-2858
