,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
26,26,31,30,26,20,20,20,20,38,30,20,27,38,30,26,26,20,20,34,20,31,26,20,30,24,20,27,20,20,27,30,26,20,38,31,24,20,31,20,31,26,20,34,26,21,28,28,21,23,23,28,23,26,23,28,34,26,28,21,26,23,23,21,23,26,24,30,23,27,28,23,27,21,24,23,26,30,26,23,28,26,31,31,28,31,31,23,23,26,23,26,21,23,23,31,28,21,31,27,33
27,20,38,24,26,24,27,30,38,31,20,24,20,27,20,31,38,20,26,34,27,34,38,20,34,31,20,31,27,34,26,38,20,20,20,38,31,38,30,31,31,26,30,34,31,31,23,23,31,23,26,38,26,26,21,23,38,26,21,23,21,30,21,23,23,23,30,30,23,28,31,31,34,21,23,28,28,26,31,34,31,31,21,21,31,26,31,21,31,31,28,28,38,27,23,23,31,38,31,31,35
28,20,20,30,30,26,30,24,20,31,34,20,20,26,20,27,31,26,26,26,30,26,31,31,26,31,30,38,26,31,38,20,30,20,30,38,20,30,31,31,30,26,27,26,20,31,23,21,30,28,26,23,28,21,21,30,34,31,38,23,30,28,23,23,34,34,24,23,31,21,31,28,23,23,23,23,24,30,28,31,38,28,28,24,34,23,31,26,23,23,24,26,27,21,23,26,23,21,26,21,33
29,27,34,20,34,31,20,30,27,20,20,38,31,30,31,24,26,31,26,20,34,34,30,30,31,26,31,26,31,31,31,20,30,30,20,27,20,27,31,26,38,26,26,20,38,23,38,38,24,38,23,27,21,21,21,23,31,28,31,24,23,30,23,28,21,30,24,31,23,27,26,31,21,21,23,34,26,21,26,38,26,26,28,28,30,30,31,26,23,21,34,30,31,28,26,21,23,34,26,21,40
30,27,27,34,20,31,31,20,26,20,27,24,27,30,20,27,38,20,20,31,20,31,31,30,31,30,20,27,20,20,38,31,30,27,30,27,20,20,31,20,27,38,20,26,34,34,23,38,30,34,26,23,21,31,24,23,28,23,21,21,31,38,23,28,26,31,27,26,23,23,26,24,23,30,30,26,28,28,23,34,21,30,31,26,34,26,24,26,31,23,28,24,31,31,38,30,28,31,31,24,35
31,27,30,20,20,20,30,20,20,20,31,20,20,31,30,31,24,20,38,20,34,30,26,31,20,20,34,30,30,34,24,20,31,20,26,20,20,20,31,24,26,20,31,20,24,28,30,24,21,28,28,23,24,24,21,26,21,23,23,30,31,27,28,28,34,24,23,31,38,23,23,28,31,24,24,28,24,28,31,26,28,23,23,21,28,21,21,23,24,30,23,24,23,30,23,26,23,28,21,26,35
32,27,31,31,31,20,20,31,20,34,20,38,30,26,20,31,30,27,26,30,26,26,31,24,31,20,31,31,31,20,20,30,20,31,27,27,24,20,30,26,27,20,20,26,20,21,23,23,21,21,28,23,26,30,21,38,38,34,38,23,23,38,26,21,21,38,24,31,23,21,23,23,23,26,23,38,23,31,24,24,31,27,21,27,31,30,28,26,24,28,38,23,24,23,23,21,30,27,30,31,47
33,20,26,26,20,20,31,20,31,26,26,38,30,26,20,20,31,31,20,20,34,34,26,24,24,20,24,27,20,20,31,20,20,20,31,20,20,30,31,20,27,31,20,20,20,21,27,26,31,31,21,21,24,23,27,23,27,21,21,26,27,23,26,23,21,24,38,26,24,24,23,30,31,21,23,28,26,23,27,24,34,27,23,24,23,28,21,28,24,24,26,28,38,24,23,28,28,26,26,28,43
34,24,20,31,20,20,20,38,20,27,26,31,20,31,20,31,38,31,20,30,20,26,20,27,26,31,27,31,20,20,26,30,20,31,30,26,24,34,26,38,31,30,20,26,20,23,21,24,23,31,23,31,23,23,38,31,21,28,26,34,31,31,28,21,23,27,23,38,24,28,28,23,28,23,28,31,31,23,23,23,26,28,26,26,28,23,34,21,23,23,26,34,26,26,30,31,23,23,26,28,39
35,20,31,30,20,27,34,26,31,34,30,31,34,38,30,31,38,26,31,31,38,27,38,26,34,27,20,38,31,20,38,20,31,20,30,24,20,20,38,20,26,31,27,24,30,28,26,26,21,38,23,23,28,21,34,30,31,23,28,30,21,23,23,38,31,23,24,23,30,28,31,28,23,21,23,28,24,21,26,31,21,31,31,23,23,28,28,23,26,31,28,21,26,31,31,30,26,31,28,27,40
36,20,26,26,30,30,20,31,26,26,31,31,20,31,31,38,20,38,34,20,38,26,31,24,31,38,31,20,20,20,38,26,20,20,20,34,30,24,30,20,38,38,20,34,30,31,23,23,21,28,23,26,26,38,26,30,26,21,30,30,26,38,26,28,23,26,31,28,28,27,24,26,23,28,31,23,31,28,21,38,28,31,26,34,23,27,24,26,27,28,23,23,21,28,23,28,31,23,23,31,33
37,31,27,31,31,31,27,20,24,20,20,38,30,31,26,38,20,30,20,38,38,31,31,27,30,38,26,30,38,27,31,38,20,26,20,20,20,20,31,20,20,30,20,38,20,28,26,23,30,30,23,28,38,28,24,31,21,23,26,23,31,31,34,31,21,26,26,23,38,28,24,27,23,38,21,23,31,26,24,27,23,28,34,26,24,26,23,27,28,24,30,31,31,26,23,30,27,34,28,28,40
38,30,20,20,20,20,24,27,38,31,27,20,34,34,38,31,31,27,20,20,20,20,34,31,34,31,20,26,26,31,38,20,20,31,20,24,27,31,27,38,34,24,26,27,20,24,31,21,28,38,30,23,21,28,31,28,30,27,23,30,23,28,38,38,27,23,31,23,30,24,31,24,34,27,23,31,21,21,23,31,31,31,23,34,21,34,21,23,23,28,23,23,26,23,27,23,24,23,24,24,35
39,31,31,20,31,20,31,24,31,27,24,31,20,34,30,38,30,31,26,26,38,31,31,20,38,38,38,20,27,30,20,24,24,31,27,26,31,30,30,30,20,20,31,34,20,26,23,28,30,23,26,23,21,28,21,38,24,21,23,24,23,24,30,38,28,23,23,26,38,38,38,34,23,23,23,21,31,24,21,26,21,21,26,31,21,28,31,23,21,21,21,21,21,21,38,28,28,23,26,31,33
