,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30
0,2,2,2,2,3,2,2,2,2,3,2,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,2,3,3,3
1,2,2,2,2,3,3,2,2,3,2,2,2,3,2,3,2,2,3,3,3,3,2,3,2,3,3,2,2,3,2
2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,3,2,3,3,3,2,3,3,2,2,3,2,3,3,3,2
3,2,2,3,3,2,2,3,2,2,2,2,2,3,2,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,3
4,2,2,3,2,2,2,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,3
